time,ret1,ret2,ret3,ret4,ret5,ret6,ret7,ret8,ret9,ret10,ret11,ret12,ret13,ret14,ret15,ret16,ret17,ret18,ret19,ret20,ret21,ret22,ret23
-5,0.01689,0.007393,0.00367,0.042857,-0.003019,0.121212,0.039655,0.009646,0.020016,-0.044051,-0.001769,-0.017161,-0.016162,0,-0.008112,0.005048,0.001376,0.006464,-0.002603,0.001274,-0.014542,0.005014,-0.00738
-4,-0.056668,0.002097,-0.090719,-0.005023,0.003835,0.054054,0.026534,-0.012739,0.05102,0.01288,-0.022292,0.026984,0.008214,-0.003918,0.004543,-0.004375,-0.014088,0.007137,0.011121,0.007104,0.00438,0.006949,-0.0229
-3,-0.03159,0.003313,-0.03064,-0.050826,-0.001207,-0.051282,0.050081,0,0.050037,-0.005793,0.008601,0.054096,0.028513,-0.003933,0.006106,0.011717,0.046615,-0.019841,-0.008642,0.038745,0.022168,0.013095,-0.009283
-2,-0.031551,0.010775,0.012248,-0.041581,0.010972,0.081081,0.050769,-0.009677,-0.025605,0.002203,-0.051031,0.005865,-0.023762,0.012833,0.017982,0.002413,0.041375,-0.006055,-0.001698,0.017231,-0.000965,0.003668,0.003072
-1,0.014909,0.003955,-0.011319,0.048304,-0.017226,0.1,-0.002928,0.029316,0.013869,0.000284,-0.044874,0.007289,-0.022312,0.010721,-0.01391,-0.001765,0.007595,-0.009337,0.003969,-0.00613,-0.014031,-0.007483,-0.012404
0,0.080522,0.000856,-0.005527,0.051612,0.011651,0.568182,-0.024963,-0.031646,-0.007199,-0.004146,0.038817,-0.001447,0.014523,-0.005786,0.005822,0.006108,-0.008251,-0.017557,-0.005083,0.011122,-0.027225,0.097843,-0.010234
1,-0.020141,-0.002053,-0.010719,0.00286,0.00691,-0.086957,-0.019578,0.003268,0.029006,-0.003096,-0.020734,-0.015942,-0.006135,0.00388,0.043633,0.015018,-0.00856,0.008841,0.005677,-0.0026,0.018658,0.016611,0.00188
2,0.043679,-0.001715,-0.026083,0.022131,-0.014124,-0.142857,-0.004608,-0.003257,-0.043693,-0.008532,0.027222,0.014728,0.018518,-0.000972,-0.012159,0.012435,0.023804,0.00578,0.008128,0.005113,0.010407,-0.008798,0.002033
3,-0.025603,-0.005153,0.006386,-0.03058,-0.007062,0.055556,0.322531,0.006536,0.012528,0.005077,-0.032588,-0.011611,0.00404,-0.008755,0.009501,0.000933,-0.00867,-0.016685,0.004031,-0.011372,-0.005665,-0.00111,0.006398
4,-0.012127,0.001727,0.004299,0.011858,-0.000813,-0.105263,0.012836,0.003247,0.011645,-0.003152,0.000293,-0.007342,-0.016097,0.022571,-0.001925,-0.005902,0.001113,-0.014517,0.001561,-0.019978,0.002745,-0.003174,-0.02388
5,-0.036317,-0.001206,-0.005911,-0.019001,0.003254,-0.019608,0.038018,0.012945,-0.009352,-0.02113,-0.023962,-0.011834,0.006135,-0.03167,0.025718,0.005937,-0.008021,0.029271,0.005011,0.005971,-0.00501,-0.006367,-0.00556
6,0.024416,-0.001208,-0.003281,0.010438,0.000608,-0.18,0.053274,-0.00639,0.022513,0.02669,0.006355,-0.040419,0.018293,0.004955,-0.01191,-0.007611,-0.004243,0.008364,-0.007978,-0.014533,0.003322,0.003685,-0.02524
7,-0.012953,-0.005183,0.007612,0.003788,0.019246,0.170732,-0.040042,-0.006431,0.007812,-0.002253,-0.031544,-0.018721,-0.017964,-0.003945,-0.007824,-0.015652,-0.007397,-0.010138,0.026807,-0.013812,0.008899,-0.000638,-0.00803
8,-0.020472,-0.001216,0.018783,0.010635,0.006957,0.020833,-0.049396,-0.009709,-0.044397,0.008494,0.008366,0.014308,-0.018293,0.013861,-0.002771,0.020989,-0.028511,0.02216,0.003916,0.013585,-0.005128,0.001437,0.000165
9,0.000536,0.009911,0.010421,0.032247,0.027734,-0.163265,-0.002309,0.03268,-0.015487,-0.007854,0.039927,0.021944,0.010352,0.006836,0.008976,-0.023361,-0.04719,-0.002004,-0.006935,0.001039,-0.000155,-0.00941,0.010241
10,0.076058,0.004649,-0.005553,-0.002192,0.006914,0,0.017361,-0.031646,0.042697,0.010208,-0.013169,0.001534,0.022541,-0.00582,-0.007626,0.010365,-0.002188,-0.009127,0.002619,0.008303,0.001598,0.007728,0.00932
